,State,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,num_parents,num_children,state_id
0,Alabama,1p0c,534.5223880597015,272.97014925373134,913.8955223880597,474.2985074626866,292.5970149253731,0.0,472.76119402985074,2961.044776119403,1.0,0.0,01
1,Alabama,1p1c,708.223880597015,402.2985074626866,972.2985074626865,711.820895522388,402.3731343283582,425.7014925373134,485.97014925373134,4108.55223880597,1.0,1.0,01
2,Alabama,1p2c,708.223880597015,589.4328358208955,1036.313432835821,949.0895522388059,470.089552238806,1055.6268656716418,582.8358208955224,5391.776119402985,1.0,2.0,01
3,Alabama,1p3c,926.6716417910447,786.3283582089553,1084.8507462686566,1186.6119402985075,620.6865671641791,1249.4925373134329,751.179104477612,6605.910447761194,1.0,3.0,01
4,Alabama,1p4c,926.6716417910447,962.3731343283582,1112.5223880597016,1423.9253731343283,684.5820895522388,1249.4925373134329,749.4477611940298,7109.313432835821,1.0,4.0,01
5,Alabama,2p0c,577.1044776119403,500.4029850746269,1075.9701492537313,948.5970149253732,390.44776119402985,0.0,587.0,4079.5522388059703,2.0,0.0,01
6,Alabama,2p1c,708.223880597015,622.7910447761194,1137.044776119403,1186.1044776119404,482.2835820895522,425.7014925373134,652.5820895522388,5214.7164179104475,2.0,1.0,01
7,Alabama,2p2c,708.223880597015,788.9701492537314,1184.402985074627,1423.3880597014925,542.4776119402985,1055.6268656716418,731.6119402985074,6434.507462686567,2.0,2.0,01
8,Alabama,2p3c,926.6716417910447,963.1044776119403,1211.5820895522388,1660.9402985074628,684.7910447761194,1249.4925373134329,825.1641791044776,7521.701492537313,2.0,3.0,01
9,Alabama,2p4c,926.6716417910447,1178.5671641791046,1222.3731343283582,1898.2388059701493,762.8656716417911,1249.4925373134329,807.5373134328358,8045.895522388059,2.0,4.0,01
10,Alaska,1p0c,850.9655172413793,284.7241379310345,848.3103448275862,521.2758620689655,411.48275862068965,0.0,453.3448275862069,3369.8275862068967,1.0,0.0,02
11,Alaska,1p1c,1200.1379310344828,419.2413793103448,905.3448275862069,782.2068965517242,586.7586206896551,892.0689655172414,566.9655172413793,5352.758620689655,1.0,1.0,02
12,Alaska,1p2c,1200.1379310344828,592.9310344827586,966.5172413793103,1043.344827586207,649.6896551724138,1656.2068965517242,704.8275862068965,6813.310344827586,1.0,2.0,02
13,Alaska,1p3c,1582.7241379310344,798.8965517241379,1027.1724137931035,1303.5862068965516,863.0344827586207,1891.3103448275863,981.7931034482758,8448.896551724138,1.0,3.0,02
14,Alaska,1p4c,1582.7241379310344,983.448275862069,1058.7241379310344,1564.7241379310344,929.8275862068965,1891.3103448275863,989.0344827586207,8999.931034482759,1.0,4.0,02
15,Alaska,2p0c,951.2758620689655,521.8275862068965,1005.1034482758621,1042.448275862069,533.7586206896551,0.0,551.3103448275862,4605.482758620689,2.0,0.0,02
16,Alaska,2p1c,1200.1379310344828,649.3793103448276,1062.1379310344828,1302.7931034482758,670.1379310344828,892.0689655172414,692.0689655172414,6468.9655172413795,2.0,1.0,02
17,Alaska,2p2c,1200.1379310344828,802.0689655172414,1123.2068965517242,1563.7241379310344,725.448275862069,1656.2068965517242,756.2068965517242,7827.241379310345,2.0,2.0,02
18,Alaska,2p3c,1582.7241379310344,984.4137931034483,1154.6896551724137,1824.8620689655172,930.2413793103449,1891.3103448275863,928.7586206896551,9297.034482758621,2.0,3.0,02
19,Alaska,2p4c,1582.7241379310344,1208.8275862068965,1150.2068965517242,2085.793103448276,1011.448275862069,1891.3103448275863,914.7931034482758,9845.275862068966,2.0,4.0,02
20,Arizona,1p0c,695.0666666666667,262.1333333333333,924.2666666666667,484.46666666666664,346.8,0.0,464.46666666666664,3177.0,1.0,0.0,04
21,Arizona,1p1c,966.0,386.4,981.9333333333333,726.5333333333333,490.0,628.0,507.46666666666664,4686.333333333333,1.0,1.0,04
22,Arizona,1p2c,966.0,566.2666666666667,1056.4,968.9333333333333,555.1333333333333,1237.2666666666667,594.2666666666667,5944.333333333333,1.0,2.0,04
23,Arizona,1p3c,1334.4,755.3333333333334,1114.2,1211.4666666666667,757.2666666666667,1424.7333333333333,836.1333333333333,7433.0,1.0,3.0,04
